Date,SOXL,SOXL,SOXS,SOXS,SPXL,SPXL
3/28/2018,9.569333,20061000,1548,26950,39.639999,9961400
3/29/2018,10.188,17752500,1447.199951,16308,41.290001,7663100
4/2/2018,9.008,19338000,1612.800049,27232,38.419998,12107000
4/3/2018,9.524,15993000,1520.400024,17558,39.93,9172500
4/4/2018,9.887333,16759500,1460.400024,23271,41.220001,10015100
4/5/2018,9.583333,13840500,1503.599976,20851,42.099998,6809900
4/6/2018,8.708667,13326000,1644,21085,39.34,10687400
4/9/2018,8.868,16462500,1612.800049,19783,39.790001,6741700
4/10/2018,9.720667,18669000,1458,23800,41.790001,7414000
4/11/2018,9.724667,10633500,1456.800049,14756,41.07,6605700
4/12/2018,10.278667,13927500,1372.800049,15083,42.110001,6027000
4/13/2018,10.037333,14283000,1406.400024,18651,41.73,6007900
4/16/2018,10.102,8299500,1398,9699,42.73,3747100
4/17/2018,10.671333,12387000,1317.599976,12138,44.09,4018900
4/18/2018,10.340667,12802500,1359.599976,13936,44.169998,3330000
4/19/2018,9.005333,33981000,1534.800049,33141,43.450001,4214600
4/20/2018,8.682,16249500,1590,23748,42.32,5689900
4/23/2018,8.332667,16278000,1654.800049,18468,42.290001,3243300
4/24/2018,8.13,21633000,1694.400024,29143,40.639999,8778800
4/25/2018,8.101333,20535000,1701.599976,28821,40.869999,4856000
4/26/2018,8.596,17655000,1594.800049,17733,42.099998,5523000
4/27/2018,8.406,13656000,1629.599976,21023,42.200001,4741100
4/30/2018,8.127333,11466000,1684.800049,21506,41.220001,5237100
5/1/2018,8.529333,13552500,1599.599976,29123,41.439999,5157500
5/2/2018,8.412,10189500,1620,9762,40.560001,5284600
5/3/2018,8.564,15442500,1592.400024,28168,40.299999,9825200
5/4/2018,9.181333,19219500,1477.199951,20413,41.849998,5889100
5/7/2018,9.432667,14211000,1437.599976,16396,42.25,4272200
5/8/2018,9.633333,10398000,1406.400024,17618,42.259998,3465300
5/9/2018,10.049333,12400500,1347.599976,16970,43.470001,4047700
5/10/2018,10.586,12277500,1274.400024,16812,44.720001,4701900
5/11/2018,10.333333,11790000,1303.199951,18643,44.970001,2738500
5/14/2018,10.74,13374000,1254,20870,45.110001,2527400
5/15/2018,10.36,10774500,1298.400024,27203,44.209999,6682400
5/16/2018,10.778,10854000,1243.199951,17701,44.790001,5268900
5/17/2018,10.652,8755500,1257.599976,20023,44.650002,4154800
5/18/2018,10.204,9588000,1311.599976,29652,44.310001,1706400
5/21/2018,10.522667,13068000,1269.599976,20898,45.279999,3499200
5/22/2018,10.7,12891000,1249.199951,18453,44.900002,2422200
5/23/2018,10.871333,9612000,1230,18549,45.279999,3009600
5/24/2018,10.984,10362000,1215.599976,19643,45.02,3219500
5/25/2018,11.254667,9672000,1188,18535,44.650002,1971600
5/29/2018,11.039333,10375500,1209.599976,26448,43.150002,5521900
5/30/2018,11.258,12159000,1185.599976,17806,44.82,3855100
5/31/2018,11.014,9567000,1210.800049,17261,43.900002,4017000
6/1/2018,11.752,17115000,1129.199951,29280,45.27,4400200
6/4/2018,12.039333,11950500,1101.599976,23204,45.91,2689200
6/5/2018,12.199333,9339000,1087.199951,20321,46.009998,2540000
6/6/2018,12.434667,8950500,1066.800049,17578,47.169998,3249400
6/7/2018,12.104667,9597000,1094.400024,29977,47.09,2745700
6/8/2018,11.785333,9820500,1123.199951,19486,47.490002,2116100
6/11/2018,11.698,6118500,1131.599976,18393,47.700001,2045600
